Ref,Val,Package,PosX,PosY,Rot,Side
"PWRLED1","LED/RED/0603","LED_0603_KA",45.699500,54.455000,180.000000,top
"Q1","Q12MHz/20pF/30ppm/2P/HC-49SM(SMD)","Q_49U3HMS",33.016000,27.430000,0.000000,top
"Q2","BC817-40(SOT23)","SOT23",21.332000,23.620000,0.000000,top
"Q3","BC817-40(SOT23)","SOT23",21.205000,20.064000,0.000000,top
"R1","1k/R0603","0603",20.189000,42.289000,180.000000,top
"R2","10k/R0603","0603",20.188999,39.241000,0.000000,top
"R3","0R(Board_Mounted)","0603",35.175000,48.131000,90.000000,top
"R4","330R/R0603","0603",22.094000,67.435000,90.000000,top
"R5","330R/R0603","0603",42.033000,62.863000,-90.000000,top
"R6","49.9R/1%/R0603","0603",28.952000,48.131000,-90.000000,top
"R7","49.9R/1%/R0603","0603",26.666000,48.131000,-90.000000,top
"R8","49.9R/1%/R0603","0603",32.762000,48.131000,-90.000000,top
"R9","49.9R/1%/R0603","0603",30.476000,48.131000,-90.000000,top
"R10","10k/R0603","0603",32.127000,15.301500,0.000000,top
"R11","10k/R0603","0603",40.255000,20.826000,0.000000,top
"R12","1M/R0603","0603",44.192000,35.939000,180.000000,top
"R13","2.2k/R0603","0603",45.699500,52.677000,180.000000,top
"R14","1k/R0603","0603",25.269000,22.858000,180.000000,top
"R15","1k/R0603","0603",25.269000,21.080000,180.000000,top
"R16","220R/R0603","0603",17.649000,20.064000,180.000000,top
"R17","10k/R0603","0603",36.318000,39.625000,0.000000,top
"R18","12.1k/1%/R0603","0603",23.999000,46.734000,180.000000,top
"R19","10k/R0603","0603",12.696000,39.241000,180.000000,top
"R20","2.2k/R0603","0603",11.426000,19.937000,180.000000,top
"R21","10k/R0603","0603",17.014000,23.366000,180.000000,top
"R22","2.2k/R0603","0603",16.887000,35.177000,180.000000,top
"R23","2.2k/R0603","0603",16.887000,33.653000,180.000000,top
"R24","2.2k/R0603","0603",8.251000,19.937000,180.000000,top
"R25","2.2k/R0603","0603",32.070000,9.220000,0.000000,top
"R26","10k/R0603","0603",42.100000,8.980000,180.000000,top
"R27","2.2k/R0603","0603",35.345000,9.220000,180.000000,top
"R28","2.2k/R0603","0603",45.699500,57.122000,0.000000,top
"R29","4.7k/R0603","0603",4.560000,8.388360,-90.000000,top
"R30","4.7k/R0603","0603",20.300000,8.387649,-90.000000,top
"R31","4.7k/R0603","0603",44.490000,8.382253,-90.000000,top
"R32","4.7k/R0603","0603",60.230000,8.385112,-90.000000,top
