"Source:"	"F:\OneDrive\proje\ESP32-GATEWAY-master\HARDWARE\Hardware revision G2 type c\Hardware revision G2\ESP32-GATEWAY_Rev_G.kicad_sch"
"Date:"	"19.11.2022 13:43:11"
"Tool:"	"Eeschema (6.0.8)"
"Component Count:"	"133"
"Ref"	"Value"	"Part"	"Footprint"	"Description"	"Vendor"
"FET1"	"WPM2015-3/TR"	"ESP32-GATEWAY_Rev_G:P-MOS+DIOD"	"OLIMEX_Transistors-FP:SOT23"	""	""
"FET2"	"WPM2015-3/TR"	"ESP32-GATEWAY_Rev_G:P-MOS+DIOD"	"OLIMEX_Transistors-FP:SOT23"	""	""
"FID1"	"Fiducial"	"ESP32-GATEWAY_Rev_G:Fiducial"	"OLIMEX_Other-FP:Fiducial1x3"	""	""
"FID2"	"Fiducial"	"ESP32-GATEWAY_Rev_G:Fiducial"	"OLIMEX_Other-FP:Fiducial1x3"	""	""
"FID3"	"Fiducial"	"ESP32-GATEWAY_Rev_G:Fiducial"	"OLIMEX_Other-FP:Fiducial1x3"	""	""
"GND1"	"TESTPAD"	"ESP32-GATEWAY_Rev_G:TESTPAD"	"OLIMEX_Other-FP:TESTPAD_40-ROUND"	""	""
"J1"	"Conn_02x02_P4.20mm_Molex_Horizontal"	"Connector_Generic:Conn_02x02_Counter_Clockwise"	"Connector_Molex:Molex_Mini-Fit_Jr_5569-04A1_2x02_P4.20mm_Horizontal"	"Generic connector, double row, 02x02, counter clockwise pin numbering scheme (similar to DIP package numbering), script generated (kicad-library-utils/schlib/autogen/connector/)"	""
"J2"	"Conn_01x04_P1.00mm_Stemma qt/Qwiic"	"Connector_Generic:Conn_01x04"	"Connector_JST:JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal"	"Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)"	""
"J3"	"Conn_01x04_P1.00mm_Stemma qt/Qwiic"	"Connector_Generic:Conn_01x04"	"Connector_JST:JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal"	"Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)"	""
"J4"	"Conn_01x04_P1.00mm_Stemma qt/Qwiic"	"Connector_Generic:Conn_01x04"	"Connector_JST:JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal"	"Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)"	""
"J5"	"Conn_01x04_P1.00mm_Stemma qt/Qwiic"	"Connector_Generic:Conn_01x04"	"Connector_JST:JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal"	"Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)"	""
"J6"	"Conn_01x04_P1.00mm_Stemma qt/Qwiic"	"Connector_Generic:Conn_01x04"	"Connector_JST:JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal"	"Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)"	""
"J7"	"Conn_01x04_P1.00mm_Stemma qt/Qwiic"	"Connector_Generic:Conn_01x04"	"Connector_JST:JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal"	"Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)"	""
"J8"	"Conn_01x04_P1.00mm_Stemma qt/Qwiic"	"Connector_Generic:Conn_01x04"	"Connector_JST:JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal"	"Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)"	""
"J9"	"Conn_01x04_P1.00mm_Stemma qt/Qwiic"	"Connector_Generic:Conn_01x04"	"Connector_JST:JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal"	"Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)"	""
"L1"	"NA(FB0805/600R/2A)"	"ESP32-GATEWAY_Rev_G:L"	"OLIMEX_RLC-FP:L_0805_5MIL_DWS"	""	""
"L2"	"FB0805/600R/2A"	"ESP32-GATEWAY_Rev_G:L"	"OLIMEX_RLC-FP:L_0805_5MIL_DWS"	""	""
"L3"	"FB0805/600R/2A"	"ESP32-GATEWAY_Rev_G:L"	"OLIMEX_RLC-FP:L_0805_5MIL_DWS"	""	""
"LAN1"	"RJLD-060TC1(LPJ4013EDNL)"	"ESP32-GATEWAY_Rev_G:RJLBC-060TC1_GND"	"OLIMEX_Connectors-FP:RJLBC-060TC1"	""	""
"LED1"	"LED/GREEN/0603"	"ESP32-GATEWAY_Rev_G:LED"	"OLIMEX_LEDs-FP:LED_0603_KA"	""	""
"LED_E1"	"Closed"	"ESP32-GATEWAY_Rev_G:SJ"	"OLIMEX_Jumpers-FP:SJ"	""	""
